date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-11-10,smic_follower,hold,0,0,0,,,4551.7218,22433493.4022,22438045.1239,20000000.0,2438045.1239,15
2021-11-10,smic_follower_v2,rebalance,2,1,3,004020.KS|036930.KQ|054780.KQ,rebalance_buy|stop_loss_average_down,3757.2096,20352672.6979,20356429.9075,20000000.0,356429.9075,14
2021-11-11,all_weather,hold,0,0,0,,,340865.1782,22016271.19,22357136.3682,20000000.0,2357136.3682,4
2021-11-11,benchmark_gld,hold,0,0,0,,,160422.5534,21030610.264,21191032.8174,20000000.0,1191032.8174,1
2021-11-11,benchmark_kodex200,hold,0,0,0,,,19485.0491,18733125.0,18752610.0491,20000000.0,-1247389.9509,1
2021-11-11,benchmark_qqq,hold,0,0,0,,,423012.5715,24975715.1752,25398727.7467,20000000.0,5398727.7467,1
2021-11-11,benchmark_spy,hold,0,0,0,,,413144.0143,24712587.0713,25125731.0856,20000000.0,5125731.0856,1
2021-11-11,smic_follower,hold,0,0,0,,,4552.0333,22250453.9672,22255006.0005,20000000.0,2255006.0005,15
2021-11-11,smic_follower_v2,hold,0,0,0,,,3757.4668,20191321.6643,20195079.1311,20000000.0,195079.1311,14
2021-11-12,all_weather,hold,0,0,0,,,340888.5091,22169525.6065,22510414.1156,20000000.0,2510414.1156,4
2021-11-12,benchmark_gld,hold,0,0,0,,,160433.5338,21052140.4001,21212573.9338,20000000.0,1212573.9338,1
2021-11-12,benchmark_kodex200,hold,0,0,0,,,19486.3828,18931975.0,18951461.3828,20000000.0,-1048538.6172,1
2021-11-12,benchmark_qqq,hold,0,0,0,,,423041.5251,25216570.3857,25639611.9108,20000000.0,5639611.9108,1
2021-11-12,benchmark_spy,hold,0,0,0,,,413172.2925,24877430.5436,25290602.8361,20000000.0,5290602.8361,1
2021-11-12,smic_follower,hold,0,0,0,,,4552.3449,22784770.5061,22789322.851,20000000.0,2789322.851,15
2021-11-12,smic_follower_v2,hold,0,0,0,,,3757.724,20654942.8383,20658700.5622,20000000.0,658700.5622,14
2021-11-15,all_weather,hold,0,0,0,,,340958.5068,22168065.5593,22509024.066,20000000.0,2509024.066,4
2021-11-15,benchmark_gld,hold,0,0,0,,,160466.477,20948491.5985,21108958.0755,20000000.0,1108958.0755,1
2021-11-15,benchmark_kodex200,hold,0,0,0,,,19490.3841,19150225.0,19169715.3841,20000000.0,-830284.6159,1
2021-11-15,benchmark_qqq,hold,0,0,0,,,423128.3919,25125582.9986,25548711.3905,20000000.0,5548711.3905,1
2021-11-15,benchmark_spy,hold,0,0,0,,,413257.1328,24801811.7318,25215068.8646,20000000.0,5215068.8646,1
2021-11-15,smic_follower,hold,0,0,0,,,4553.2797,23188026.783,23192580.0627,20000000.0,3192580.0627,15
2021-11-15,smic_follower_v2,hold,0,0,0,,,3758.4956,21007648.3147,21011406.8102,20000000.0,1011406.8102,14
2021-11-16,all_weather,hold,0,0,0,,,340981.8441,22241901.3425,22582883.1866,20000000.0,2582883.1866,4
